0.000000e+00  7.091415e-03  -8.721520e-03
2.800000e+01  4.946173e-01  -4.449237e-01  6.652845e-01
2.810000e+01  5.034462e-01  -4.519096e-01  6.765208e-01
2.820000e+01  5.114586e-01  -4.583509e-01  6.867863e-01
2.830000e+01  5.185500e-01  -4.641639e-01  6.959470e-01
2.840000e+01  5.246471e-01  -4.692737e-01  7.038980e-01
2.850000e+01  5.297126e-01  -4.736181e-01  7.105699e-01
2.860000e+01  5.337465e-01  -4.771502e-01  7.159313e-01
2.870000e+01  5.367820e-01  -4.798396e-01  7.199868e-01
2.880000e+01  5.388786e-01  -4.816719e-01  7.227711e-01
2.890000e+01  5.401107e-01  -4.826461e-01  7.243389e-01
2.900000e+01  5.405542e-01  -4.827713e-01  7.247530e-01
2.910000e+01  5.402736e-01  -4.820629e-01  7.240719e-01
2.920000e+01  5.393112e-01  -4.805392e-01  7.223396e-01
2.930000e+01  5.376808e-01  -4.782195e-01  7.195794e-01
2.940000e+01  5.353661e-01  -4.751227e-01  7.157922e-01
2.950000e+01  5.323265e-01  -4.712683e-01  7.109608e-01
2.960000e+01  5.285070e-01  -4.666780e-01  7.050589e-01
2.970000e+01  5.238532e-01  -4.613786e-01  6.980633e-01
2.980000e+01  5.183263e-01  -4.554044e-01  6.899676e-01
2.990000e+01  5.119178e-01  -4.488005e-01  6.807950e-01
3.000000e+01  5.046601e-01  -4.416238e-01  6.706067e-01
3.010000e+01  4.966302e-01  -4.339438e-01  6.595064e-01
3.020000e+01  4.879483e-01  -4.258423e-01  6.476381e-01
3.030000e+01  4.787700e-01  -4.174106e-01  6.351790e-01
3.040000e+01  4.692745e-01  -4.087471e-01  6.223285e-01
3.050000e+01  4.596505e-01  -3.999536e-01  6.092959e-01
3.060000e+01  4.500836e-01  -3.911310e-01  5.962874e-01
3.070000e+01  4.407443e-01  -3.823760e-01  5.834955e-01
3.080000e+01  4.317809e-01  -3.737779e-01  5.710908e-01
3.090000e+01  4.233142e-01  -3.654165e-01  5.592174e-01
3.100000e+01  4.154365e-01  -3.573603e-01  5.479907e-01
3.110000e+01  4.082125e-01  -3.496662e-01  5.374978e-01
3.120000e+01  4.016824e-01  -3.423800e-01  5.278000e-01
3.130000e+01  3.958654e-01  -3.355365e-01  5.189356e-01
3.140000e+01  3.907637e-01  -3.291608e-01  5.109238e-01
3.150000e+01  3.863661e-01  -3.232693e-01  5.037677e-01
3.160000e+01  3.826520e-01  -3.178705e-01  4.974578e-01
3.170000e+01  3.795939e-01  -3.129655e-01  4.919745e-01
3.180000e+01  3.771600e-01  -3.085488e-01  4.872905e-01
3.190000e+01  3.753165e-01  -3.046084e-01  4.833723e-01
3.200000e+01  3.740294e-01  -3.011259e-01  4.801820e-01
3.210000e+01  3.732655e-01  -2.980767e-01  4.776786e-01
3.220000e+01  3.729938e-01  -2.954303e-01  4.758187e-01
3.230000e+01  3.731861e-01  -2.931502e-01  4.745576e-01
3.240000e+01  3.738175e-01  -2.911947e-01  4.738501e-01
3.250000e+01  3.748664e-01  -2.895175e-01  4.736509e-01
3.260000e+01  3.763143e-01  -2.880682e-01  4.739153e-01
3.270000e+01  3.781456e-01  -2.867937e-01  4.745995e-01
3.280000e+01  3.803471e-01  -2.856396e-01  4.756615e-01
3.290000e+01  3.829073e-01  -2.845513e-01  4.770613e-01
3.300000e+01  3.858162e-01  -2.834757e-01  4.787616e-01
3.310000e+01  3.890649e-01  -2.823632e-01  4.807291e-01
3.320000e+01  3.926455e-01  -2.811690e-01  4.829353e-01
3.330000e+01  3.965513e-01  -2.798550e-01  4.853574e-01
3.340000e+01  4.007770e-01  -2.783911e-01  4.879793e-01
3.350000e+01  4.053193e-01  -2.767567e-01  4.907932e-01
3.360000e+01  4.101772e-01  -2.749409e-01  4.937994e-01
3.370000e+01  4.153522e-01  -2.729440e-01  4.970069e-01
3.380000e+01  4.208490e-01  -2.707762e-01  5.004334e-01
3.390000e+01  4.266746e-01  -2.684582e-01  5.041042e-01
3.400000e+01  4.328386e-01  -2.660199e-01  5.080511e-01
3.410000e+01  4.393520e-01  -2.634992e-01  5.123105e-01
3.420000e+01  4.462261e-01  -2.609405e-01  5.169213e-01
3.430000e+01  4.534706e-01  -2.583932e-01  5.219221e-01
3.440000e+01  4.610922e-01  -2.559100e-01  5.273480e-01
3.450000e+01  4.690913e-01  -2.535450e-01  5.332277e-01
3.460000e+01  4.774605e-01  -2.513519e-01  5.395798e-01
3.470000e+01  4.861812e-01  -2.493820e-01  5.464097e-01
3.480000e+01  4.952216e-01  -2.476827e-01  5.537067e-01
3.490000e+01  5.045346e-01  -2.462953e-01  5.614415e-01
3.500000e+01  5.140574e-01  -2.452530e-01  5.695648e-01
3.510000e+01  5.237104e-01  -2.445794e-01  5.780066e-01
3.520000e+01  5.333995e-01  -2.442863e-01  5.866778e-01
3.530000e+01  5.430184e-01  -2.443730e-01  5.954722e-01
3.540000e+01  5.524522e-01  -2.448250e-01  6.042704e-01
3.550000e+01  5.615830e-01  -2.456139e-01  6.129451e-01
3.560000e+01  5.702951e-01  -2.466981e-01  6.213666e-01
3.570000e+01  5.784806e-01  -2.480246e-01  6.294093e-01
3.580000e+01  5.860444e-01  -2.495307e-01  6.369565e-01
3.590000e+01  5.929083e-01  -2.511470e-01  6.439061e-01
3.600000e+01  5.990135e-01  -2.527998e-01  6.501730e-01
3.610000e+01  6.043214e-01  -2.544136e-01  6.556910e-01
3.620000e+01  6.088138e-01  -2.559132e-01  6.604133e-01
3.630000e+01  6.124911e-01  -2.572246e-01  6.643115e-01
3.640000e+01  6.153707e-01  -2.582762e-01  6.673737e-01
3.650000e+01  6.174845e-01  -2.589990e-01  6.696026e-01
3.660000e+01  6.188764e-01  -2.593273e-01  6.710132e-01
3.670000e+01  6.195996e-01  -2.591991e-01  6.716307e-01
3.680000e+01  6.197134e-01  -2.585576e-01  6.714884e-01
3.690000e+01  6.192805e-01  -2.573522e-01  6.706254e-01
3.700000e+01  6.183634e-01  -2.555410e-01  6.690849e-01
3.710000e+01  6.170215e-01  -2.530929e-01  6.669120e-01
3.720000e+01  6.153077e-01  -2.499898e-01  6.641524e-01
3.730000e+01  6.132660e-01  -2.462292e-01  6.608510e-01
3.740000e+01  6.109304e-01  -2.418263e-01  6.570510e-01
3.750000e+01  6.083242e-01  -2.368156e-01  6.527940e-01
3.760000e+01  6.054610e-01  -2.312514e-01  6.481206e-01
3.770000e+01  6.023474e-01  -2.252073e-01  6.430713e-01
3.780000e+01  5.989854e-01  -2.187739e-01  6.376876e-01
3.790000e+01  5.953765e-01  -2.120555e-01  6.320132e-01
3.800000e+01  5.915244e-01  -2.051648e-01  6.260940e-01
3.810000e+01  5.874379e-01  -1.982173e-01  6.199785e-01
3.820000e+01  5.831325e-01  -1.913247e-01  6.137170e-01
3.830000e+01  5.786305e-01  -1.845896e-01  6.073603e-01
3.840000e+01  5.739609e-01  -1.780999e-01  6.009582e-01
3.850000e+01  5.691574e-01  -1.719262e-01  5.945576e-01
3.860000e+01  5.642566e-01  -1.661199e-01  5.882018e-01
3.870000e+01  5.592961e-01  -1.607139e-01  5.819287e-01
3.880000e+01  5.543119e-01  -1.557240e-01  5.757705e-01
3.890000e+01  5.493378e-01  -1.511521e-01  5.697534e-01
3.900000e+01  5.444033e-01  -1.469899e-01  5.638981e-01
3.910000e+01  5.395342e-01  -1.432228e-01  5.582203e-01
